seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
8,saddle_3d_fuzziness_005,3,wodt,0,0.5045,0.0,,,0.0,0.0,0,1,0.0003756759688258171
8,saddle_3d_fuzziness_005,3,wodt,1,0.5079,0.7049445005045408,0.502445339470656,0.586713697824809,0.20494450050454072,0.011600881247955108,1,2,0.029763961676508188
8,saddle_3d_fuzziness_005,3,wodt,2,0.586,0.7539858728557013,0.5612137599519303,0.6434722700654496,0.39106962663975775,0.16104461447042362,3,4,0.05249813199043274
8,saddle_3d_fuzziness_005,3,wodt,3,0.5021,0.7537840565085772,0.4983987189751801,0.6000481966423006,0.5097124117053482,0.25115181648925566,7,8,0.08294023992493749
8,saddle_3d_fuzziness_005,3,wodt,4,0.5953,0.7935418768920283,0.5652673950546291,0.6602300394593233,0.6477295660948539,0.36853712287376394,15,16,0.13042573211714625
8,saddle_3d_fuzziness_005,3,wodt,5,0.5512,0.717255297679112,0.535160367414546,0.612969989651604,0.6777413387151026,0.36968420523940315,31,32,0.2109685386531055
8,saddle_3d_fuzziness_005,3,wodt,6,0.5271,0.605045408678103,0.5195840554592721,0.5590675990675991,0.6827997431428308,0.37928753381477365,60,61,0.34138661017641425
8,saddle_3d_fuzziness_005,3,wodt,7,0.5499,0.7093844601412714,0.5345194647201946,0.6096609140577574,0.7016496292721448,0.3810827224280311,110,111,0.5372331482358277
8,saddle_3d_fuzziness_005,3,wodt,8,0.589,0.5622603430877902,0.5893801565474931,0.5755009295600082,0.7508207198116381,0.4207980949774437,186,187,0.839968569111079
8,saddle_3d_fuzziness_005,3,wodt,9,0.6228,0.6425832492431887,0.6140790742526518,0.628007889546351,0.7763736643490038,0.4526835063500969,289,290,1.2575608678162098
8,saddle_3d_fuzziness_005,3,wodt,10,0.6371,0.6373360242179616,0.6328657314629259,0.6350930115635998,0.7632013422002841,0.45868804739250857,413,414,1.7733932160772383
8,saddle_3d_fuzziness_005,3,wodt,11,0.6259,0.6458123107971746,0.6170458927882762,0.6311014692831082,0.7693325955101289,0.4691579837967399,548,549,2.3688120180740952
8,saddle_3d_fuzziness_005,3,wodt,12,0.5687,0.549949545913219,0.5667637271214643,0.5582300522380417,0.7862822001789691,0.4734204671856761,688,689,2.8488498902879655
