seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
1,sine_wave_2d_fuzziness_005,2,hhcart_a,0,0.7178,0.0,,,0.0,0.0,0,1,7.511116564273834e-06
1,sine_wave_2d_fuzziness_005,2,hhcart_a,1,0.7178,0.0,,,0.45676824946846195,0.4322008242982003,1,2,26.402450614143163
1,sine_wave_2d_fuzziness_005,2,hhcart_a,2,0.8036,0.8944011339475549,0.6023866348448688,0.719908727895037,0.6706236711552092,0.5456922999756044,3,4,40.88156291516498
1,sine_wave_2d_fuzziness_005,2,hhcart_a,3,0.8386,0.7406094968107725,0.7032301480484522,0.7214359682430099,0.7477852586817859,0.5131928060323978,7,8,49.97695692908019
1,sine_wave_2d_fuzziness_005,2,hhcart_a,4,0.8648,0.7838412473423104,0.7488151658767772,0.7659279778393351,0.8233079376328847,0.5291460452820724,15,16,56.00086613185704
1,sine_wave_2d_fuzziness_005,2,hhcart_a,5,0.8944,0.8596739900779589,0.7861309138042774,0.8212593094109681,0.8654123133901834,0.5930980744571093,30,31,61.466031845193356
1,sine_wave_2d_fuzziness_005,2,hhcart_a,6,0.9052,0.8851878100637846,0.8001281229980781,0.8405114401076716,0.8830747827912961,0.5730267015025621,53,54,66.05457684537396
1,sine_wave_2d_fuzziness_005,2,hhcart_a,7,0.9174,0.8851878100637846,0.8326666666666667,0.8581243558914463,0.8733957801439636,0.556930609605589,82,83,68.00226718140766
1,sine_wave_2d_fuzziness_005,2,hhcart_a,8,0.93,0.8738483345145287,0.8775800711743772,0.8757102272727273,0.8684187405919253,0.5529158257256697,120,121,69.6499643153511
1,sine_wave_2d_fuzziness_005,2,hhcart_a,9,0.946,0.8639262934089298,0.9398612181958366,0.9002954209748892,0.8655253366406803,0.5537699288638704,159,160,70.99288477888331
1,sine_wave_2d_fuzziness_005,2,hhcart_a,10,0.954,0.9043231750531537,0.9307075127644056,0.9173256649892163,0.8627250177179304,0.5590634271278274,199,200,72.03040416585281
1,sine_wave_2d_fuzziness_005,2,hhcart_a,11,0.9592,0.9029057406094968,0.9500372856077554,0.9258720930232558,0.8529396424506273,0.5473998090081695,230,231,72.49096342781559
1,sine_wave_2d_fuzziness_005,2,hhcart_a,12,0.9644,0.923458540042523,0.9490167516387472,0.9360632183908045,0.8455848015866474,0.5352557855117612,257,258,73.70177149260417
