seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
8,radial_segment_3d_fuzziness_003_3000_samples,3,oc1,0,0.694,0.0,,,0.0,0.0,0,1,0,0.0,0.00044895801693201065
8,radial_segment_3d_fuzziness_003_3000_samples,3,oc1,1,0.694,0.0,,,0.4531590413943354,0.392294895532769,1,2,3,0.0,11.040751239750534
8,radial_segment_3d_fuzziness_003_3000_samples,3,oc1,2,0.8006666666666666,0.8921568627450981,0.6213960546282246,0.7325581395348837,0.5635439360929559,0.515373522622657,2,3,3,3.0,17.48702741228044
8,radial_segment_3d_fuzziness_003_3000_samples,3,oc1,3,0.834,0.8986928104575164,0.6707317073170732,0.7681564245810056,0.681917211328976,0.4861046245041496,4,5,3,3.0,23.175438890233636
8,radial_segment_3d_fuzziness_003_3000_samples,3,oc1,4,0.8583333333333333,0.8986928104575164,0.7130509939498704,0.7951807228915663,0.7761437908496733,0.5052861072036945,7,8,3,3.0,27.465354104992002
8,radial_segment_3d_fuzziness_003_3000_samples,3,oc1,5,0.8653333333333333,0.9030501089324618,0.7246503496503497,0.8040737148399612,0.7936507936507937,0.5282237677640369,13,14,3,3.0,31.657209957949817
8,radial_segment_3d_fuzziness_003_3000_samples,3,oc1,6,0.9066666666666666,0.8845315904139434,0.8235294117647058,0.8529411764705882,0.8417211328976033,0.5812572786575245,19,20,3,3.0,35.318566164933145
8,radial_segment_3d_fuzziness_003_3000_samples,3,oc1,7,0.9196666666666666,0.8976034858387799,0.8486096807415036,0.8724192694547379,0.8742608154372862,0.5358774719960158,27,28,3,3.0,39.35903195897117
8,radial_segment_3d_fuzziness_003_3000_samples,3,oc1,8,0.9326666666666666,0.9074074074074074,0.8768421052631579,0.89186295503212,0.886499402628435,0.5809325985800298,30,31,3,3.0,42.10073667624965
8,radial_segment_3d_fuzziness_003_3000_samples,3,oc1,9,0.9413333333333334,0.8812636165577342,0.9235159817351598,0.9018952062430323,0.893748952572482,0.5973572766018402,38,39,3,3.0,44.317383158952
8,radial_segment_3d_fuzziness_003_3000_samples,3,oc1,10,0.944,0.9161220043572985,0.9023605150214592,0.9091891891891892,0.9009440813362384,0.6206883105154029,44,45,3,3.0,47.06816799007356
8,radial_segment_3d_fuzziness_003_3000_samples,3,oc1,11,0.947,0.9139433551198257,0.9129488574537541,0.9134458356015243,0.8888050946874475,0.6000314642428155,51,52,3,3.0,49.978387454058975
8,radial_segment_3d_fuzziness_003_3000_samples,3,oc1,12,0.9566666666666667,0.9030501089324618,0.9528735632183908,0.9272930648769575,0.9013556039699828,0.6173405968035874,53,54,3,3.0,51.117569690104574
