dataset,algorithm,depth,accuracy,coverage,density,f_score,splits,leaves,interpretability,sparsity,training_time
barbell_3d,hhcart,5,0.8653,0.2801418439716312,0.5433287482806052,0.3696771174543753,17,18,3.0,0.0,0.04052090644836426
radial_segment_3d,hhcart,5,0.7754,0.5267302113551595,0.535157894736842,0.5309106098579782,24,25,3.0,0.0,0.0460660457611084
saddle_3d,hhcart,5,0.8331,0.6036400404448938,0.5743145743145743,0.5886122750801085,26,27,3.0,0.0,0.04458427429199219
barbell_3d,randcart,5,0.8806,0.4049645390070922,0.6166306695464363,0.4888698630136986,25,26,3.0,0.0,0.019522428512573242
radial_segment_3d,randcart,5,0.8417,0.5876502279320348,0.7068793619142573,0.6417741570491061,28,29,3.0,0.0,0.02249908447265625
saddle_3d,randcart,5,0.8786,0.6420626895854399,0.7150900900900901,0.6766116142781033,26,27,3.0,0.0,0.02244091033935547
barbell_3d,oc1,5,0.9054,0.7546099290780142,0.6394230769230769,0.6922576447625244,6,7,3.0,0.05555555555555555,155.84752368927002
radial_segment_3d,oc1,5,0.8614,0.629092416079569,0.7555998008959681,0.6865671641791045,11,12,2.0,0.12121212121212122,183.57760787010193
saddle_3d,oc1,5,0.8655,0.7866531850353893,0.627672448567971,0.6982275072919004,12,13,3.0,0.25,138.57484650611877
barbell_3d,wodt,5,0.7395,0.006382978723404255,0.00741962077493817,0.006862371330537552,12,13,3.0,0.0,0.3131062984466553
radial_segment_3d,wodt,5,0.6932,0.18110236220472442,0.2858077174623937,0.22171486555048198,13,14,3.0,0.0,0.3089292049407959
saddle_3d,wodt,5,0.7853,0.1122345803842265,0.3621533442088091,0.1713624083365496,15,16,3.0,0.0,0.362363338470459
barbell_3d,hhcart,6,0.8708,0.36950354609929076,0.5638528138528138,0.4464438731790916,24,25,3.0,0.0,0.03967690467834473
radial_segment_3d,hhcart,6,0.7787,0.5267302113551595,0.5426985482493595,0.53459516298633,36,37,3.0,0.0,0.06993627548217773
saddle_3d,hhcart,6,0.8448,0.5556117290192113,0.6202031602708804,0.5861333333333333,38,39,3.0,0.0,0.054016828536987305
barbell_3d,randcart,6,0.9177,0.6680851063829787,0.7262914417887433,0.6959734022903582,37,38,3.0,0.0,0.023369312286376953
radial_segment_3d,randcart,6,0.8841,0.7140489017820141,0.7860401459854015,0.7483170466883822,47,48,3.0,0.0,0.02470541000366211
saddle_3d,randcart,6,0.8927,0.7482305358948432,0.7201946472019465,0.7339449541284404,41,42,3.0,0.0,0.021114587783813477
barbell_3d,oc1,6,0.9137,0.7907801418439716,0.6625074272133096,0.720982864532816,16,17,3.0,0.16666666666666666,141.94598770141602
radial_segment_3d,oc1,6,0.8853,0.6875259013675922,0.8084795321637427,0.7431131019036954,16,17,3.0,0.20833333333333334,177.3032341003418
saddle_3d,oc1,6,0.8878,0.7836198179979778,0.6907308377896613,0.7342491710090003,16,17,3.0,0.14583333333333334,148.36445140838623
barbell_3d,wodt,6,0.859,0.0,0.0,0.0,8,9,3.0,0.0,0.3291466236114502
radial_segment_3d,wodt,6,0.5819,0.21301284707832574,0.1838340486409156,0.1973507391053945,19,20,3.0,0.0,0.3955221176147461
saddle_3d,wodt,6,0.7825,0.16936299292214357,0.3863898500576701,0.23550087873462214,14,15,3.0,0.0,0.3567957878112793
barbell_3d,hhcart,7,0.8785,0.27375886524822696,0.6689774696707106,0.38852541519879213,31,32,3.0,0.0,0.05353522300720215
radial_segment_3d,hhcart,7,0.7787,0.5267302113551595,0.5426985482493595,0.53459516298633,45,46,3.0,0.0,0.0674591064453125
