seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
11,barbell_2d_fuzziness_000,2,wodt,0,0.7288,0.0,,,0.0,0.0,0,1,0.000279989093542099
11,barbell_2d_fuzziness_000,2,wodt,1,0.7288,0.0,,,0.043510324483775786,0.1328766006829094,1,2,0.01465767901390791
11,barbell_2d_fuzziness_000,2,wodt,2,0.7206,0.4085545722713864,0.4821583986074848,0.44231536926147696,0.3528761061946901,0.32140663160594785,3,4,0.03155365865677595
11,barbell_2d_fuzziness_000,2,wodt,3,0.7736,0.4085545722713864,0.6266968325791855,0.49464285714285716,0.6653761061946901,0.581903125076118,7,8,0.060827701818197966
11,barbell_2d_fuzziness_000,2,wodt,4,0.7418,0.8856932153392331,0.5139067180145486,0.6504197129704847,0.7420108161258605,0.616456069031635,12,13,0.08833295479416847
11,barbell_2d_fuzziness_000,2,wodt,5,0.808,0.8967551622418879,0.5972495088408645,0.7169811320754716,0.7966336977268784,0.6498693723676001,20,21,0.13320709392428398
11,barbell_2d_fuzziness_000,2,wodt,6,0.8104,0.8746312684365781,0.6038696537678208,0.7144578313253012,0.8097345132743365,0.6186277314229227,30,31,0.19302312890067697
11,barbell_2d_fuzziness_000,2,wodt,7,0.739,0.8960176991150443,0.510718789407314,0.6506024096385542,0.8091814159292032,0.6052518974691143,42,43,0.254718204960227
11,barbell_2d_fuzziness_000,2,wodt,8,0.7428,0.9048672566371682,0.5146812080536913,0.656149732620321,0.8319718629453143,0.5819813804794389,57,58,0.33462951704859734
11,barbell_2d_fuzziness_000,2,wodt,9,0.7528,0.883480825958702,0.5263620386643234,0.6596916299559471,0.831053901850362,0.5462144867441692,74,75,0.4062117519788444
11,barbell_2d_fuzziness_000,2,wodt,10,0.7528,0.8849557522123894,0.5263157894736842,0.6600660066006602,0.837297197640118,0.545357286702292,89,90,0.4715004940517247
11,barbell_2d_fuzziness_000,2,wodt,11,0.7526,0.8842182890855457,0.5261079420798596,0.6596973865199449,0.8396243453133467,0.5358516847125676,101,102,0.49755479022860527
11,barbell_2d_fuzziness_000,2,wodt,12,0.7524,0.8827433628318584,0.5259226713532513,0.6591409691629956,0.8449013823818614,0.536047114403825,112,113,0.5277278418652713
