seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
1,star_2d_fuzziness_003,2,co2,0,0.6814,0.0,,,0.0,0.0,0,1,0.00010047806426882744
1,star_2d_fuzziness_003,2,co2,1,0.6814,0.0,,,0.3562460765850597,0.22442323736377734,1,2,0.9989296500571072
1,star_2d_fuzziness_003,2,co2,2,0.7378,0.7802887633396108,0.5639745916515426,0.6547274163813537,0.5550847457627119,0.35631968675743164,3,4,1.207887127995491
1,star_2d_fuzziness_003,2,co2,3,0.8192,0.807909604519774,0.6827586206896552,0.7400805060379528,0.6774429797028665,0.5357422312172337,5,6,3.856041439343244
1,star_2d_fuzziness_003,2,co2,4,0.8812,0.7652228499686127,0.8471160528144545,0.8040897097625329,0.7110012554927807,0.5691349793215381,7,8,1.7308535859920084
1,star_2d_fuzziness_003,2,co2,5,0.8718,0.783427495291902,0.8082901554404145,0.7956646477526299,0.757480644486294,0.595052681165686,8,9,3.138796349056065
