seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,gini_coverage_class_1_leaves,gini_density_class_1_leaves,splits,leaves,runtime
1,barbell_2d_fuzziness_003,2,randcart,0,0.648,0.0,,,0.0,0.0,0.0,0.0,0,1,5.800000508315861e-06
1,barbell_2d_fuzziness_003,2,randcart,1,0.648,0.0,,,0.01931818181818179,0.01452356874186056,0.0,0.0,1,2,0.0030932000081520528
1,barbell_2d_fuzziness_003,2,randcart,2,0.742,0.84375,0.594,0.6971830985915494,0.3718750000000002,0.36554087542540925,0.021885521885522063,0.0037228212451878573,3,4,0.004369600006612018
1,barbell_2d_fuzziness_003,2,randcart,3,0.7882,0.5693181818181818,0.7689946277820414,0.6542605288932419,0.4698863636363635,0.45624264727131103,0.031936127744510934,0.0023979801303628534,7,8,0.009255500001017936
1,barbell_2d_fuzziness_003,2,randcart,4,0.8168,0.70625,0.7570036540803897,0.7307466196355086,0.48482142857142874,0.4633974828558862,0.15028157683024945,0.13093954453024592,13,14,0.010075199999846518
1,barbell_2d_fuzziness_003,2,randcart,5,0.8876,0.7920454545454545,0.8767295597484277,0.8322388059701492,0.5722272727272728,0.5155897741149971,0.23497529092937985,0.10317181268152664,24,25,0.01762310000776779
1,barbell_2d_fuzziness_003,2,randcart,6,0.9092,0.8335227272727272,0.9011056511056511,0.8659976387249114,0.5557059961315283,0.5001867492144365,0.21095683995264225,0.08035912787270028,46,47,0.02305279999563936
1,barbell_2d_fuzziness_003,2,randcart,7,0.9216,0.8454545454545455,0.9253731343283582,0.8836104513064134,0.6794258373205744,0.5247313205252866,0.4379729191557151,0.09045840213028633,75,76,0.02813199999218341
1,barbell_2d_fuzziness_003,2,randcart,8,0.9306,0.8744318181818181,0.9243243243243243,0.8986861313868613,0.6874999999999998,0.5266153868784791,0.43377836625105726,0.0946251413562913,139,140,0.04266710000229068
1,barbell_2d_fuzziness_003,2,randcart,9,0.94,0.8795454545454545,0.9462102689486552,0.911660777385159,0.7264545454545457,0.5283801956536793,0.48953324829097555,0.08288143931562475,224,225,0.10025889999815263
1,barbell_2d_fuzziness_003,2,randcart,10,0.9466,0.8818181818181818,0.9633767846058349,0.9207950163156334,0.8107086717317267,0.5310215145030135,0.6710309278350512,0.08766226376752706,346,347,0.15907189999416005
1,barbell_2d_fuzziness_003,2,randcart,11,0.9508,0.9017045454545455,0.9560240963855422,0.9280701754385966,0.8057537049325367,0.5272289127345715,0.65935079135624,0.09815992778267613,410,411,0.19874880000134
