seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,gini_coverage_class_1_leaves,gini_density_class_1_leaves,splits,leaves,runtime
1,barbell_2d_fuzziness_000,2,randcart,0,0.7288,0.0,,,0.0,0.0,0.0,0.0,0,1,4.2000028770416975e-06
1,barbell_2d_fuzziness_000,2,randcart,1,0.7288,0.0,,,0.018436578171091345,0.017637618738568728,0.0,0.0,1,2,0.0024932999949669465
1,barbell_2d_fuzziness_000,2,randcart,2,0.7288,0.0,,,0.4210914454277286,0.41656947788608023,0.0,0.0,3,4,0.0055262999958358705
1,barbell_2d_fuzziness_000,2,randcart,3,0.8322,0.6792035398230089,0.6950943396226416,0.6870570682581126,0.549963126843658,0.5367411422872492,0.022258414766557877,0.0007504179023110069,7,8,0.010348900003009476
1,barbell_2d_fuzziness_000,2,randcart,4,0.8618,0.6253687315634219,0.8225024248302619,0.7105152911604524,0.5960809102402023,0.5793718027330901,0.10141509433962281,0.1017185593310479,13,14,0.009160399989923462
1,barbell_2d_fuzziness_000,2,randcart,5,0.928,0.8466076696165191,0.8830769230769231,0.8644578313253012,0.599653712966526,0.5837957566567777,0.11890243902439046,0.08557250325298726,22,23,0.018135799997253343
1,barbell_2d_fuzziness_000,2,randcart,6,0.929,0.8539823008849557,0.8806083650190114,0.8670909771621116,0.5544903310390035,0.5163378505198202,0.16303972366148534,0.08866923182535058,35,36,0.015423899996676482
1,barbell_2d_fuzziness_000,2,randcart,7,0.951,0.9092920353982301,0.9099630996309963,0.9096274437476946,0.7191417772861355,0.6014411212145321,0.37836312987058784,0.1021601357709212,63,64,0.02012920001288876
1,barbell_2d_fuzziness_000,2,randcart,8,0.9654,0.9373156342182891,0.9352465047829286,0.9362799263351749,0.7342149746445261,0.5512467406731969,0.4702405001382184,0.09324411551908374,88,89,0.07976459999918006
1,barbell_2d_fuzziness_000,2,randcart,9,0.9784,0.9520648967551623,0.9677661169415293,0.9598513011152415,0.7707094153489049,0.5392374866069276,0.5434607615315685,0.07417167306541583,121,122,0.05524830000649672
1,barbell_2d_fuzziness_000,2,randcart,10,0.9886,0.971976401179941,0.9857890800299177,0.9788340141106572,0.7964435111577755,0.5270812898776454,0.5837061269534716,0.046314905919933036,176,177,0.0416683999937959
1,barbell_2d_fuzziness_000,2,randcart,11,0.987,0.9749262536873157,0.9770879526977088,0.9760059062384645,0.7749494547744524,0.4514216579513328,0.6192261885602084,0.06406247448604696,177,178,0.052237800002330914
