seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,gini_coverage_class_1_leaves,gini_density_class_1_leaves,splits,leaves,runtime
1,barbell_2d_fuzziness_007,2,hhcart,0,0.5438,0.0,,,0.0,0.0,0.0,0.0,0,1,3.2999960239976645e-06
1,barbell_2d_fuzziness_007,2,hhcart,1,0.6332,0.950021920210434,0.5574993568304605,0.7026588845654993,0.45002192021043386,0.34479169622019556,0.0,0.0,1,2,19.47435589999077
1,barbell_2d_fuzziness_007,2,hhcart,2,0.8068,0.8702323542306006,0.7476459510357816,0.8042949756888169,0.6550854888206927,0.4800588665755712,0.0,0.0,3,4,29.471419300010893
1,barbell_2d_fuzziness_007,2,hhcart,3,0.8262,0.8465585269618588,0.7881632653061225,0.8163179031917143,0.7822775098640948,0.4886489167858874,0.0,0.0,7,8,34.36109530000249
1,barbell_2d_fuzziness_007,2,hhcart,4,0.838,0.8290223586146427,0.8182604932929468,0.8236062717770035,0.8487779482683033,0.43578638953177884,0.0,0.0,15,16,38.721993300001486
1,barbell_2d_fuzziness_007,2,hhcart,5,0.8414,0.8509425690486628,0.8107769423558897,0.8303743315508021,0.8826309732573434,0.5007508522524065,0.7517774343122103,0.14025594792377016,31,32,42.94189569998707
1,barbell_2d_fuzziness_007,2,hhcart,6,0.8514,0.8373520385795704,0.8369851007887817,0.8371685294762219,0.890646048383883,0.5197515791837775,0.8579138139347564,0.10918038911100081,54,55,46.28798259999894
1,barbell_2d_fuzziness_007,2,hhcart,7,0.8674,0.8794388426128891,0.8379281537176274,0.8581818181818182,0.8915664372986676,0.5257662047574252,0.8596709870388834,0.1037247855246306,91,92,49.31304729999101
1,barbell_2d_fuzziness_007,2,hhcart,8,0.8862,0.8733011836913634,0.8767605633802817,0.8750274544256534,0.8904904134561706,0.5269726070304377,0.8680039306160816,0.1080339074345118,138,139,50.33654360000219
1,barbell_2d_fuzziness_007,2,hhcart,9,0.9028,0.8860149057430952,0.89942145082332,0.8926678445229681,0.8858951355211362,0.5253727214682591,0.8528397036595206,0.1110907848402507,193,194,51.78860580000037
1,barbell_2d_fuzziness_007,2,hhcart,10,0.914,0.9241560718982902,0.8913319238900634,0.907447266465777,0.8777182800637424,0.5204410345807802,0.8177804497717325,0.10927015340115065,251,252,53.66037369999685
1,barbell_2d_fuzziness_007,2,hhcart,11,0.9246,0.9311705392371766,0.9061433447098977,0.9184864864864865,0.8682292507902816,0.5153971207181076,0.7926569236276473,0.10901203200348397,303,304,54.4638452000072
1,barbell_2d_fuzziness_007,2,hhcart,12,0.936,0.927224901359053,0.9321286910533274,0.9296703296703296,0.8582404873845404,0.5147091798207382,0.7666600073252754,0.10377498859626977,347,348,55.01727340000798
1,barbell_2d_fuzziness_007,2,hhcart,13,0.9396,0.9285401139850943,0.9384138236597253,0.9334508594094314,0.8468108710289244,0.5039421703468052,0.7555318982575796,0.10379608137096086,376,377,55.325346500001615
1,barbell_2d_fuzziness_007,2,hhcart,14,0.9444,0.9342393686979396,0.9433377600708278,0.9387665198237887,0.8369918421568601,0.49773431765244425,0.7419355729152293,0.1043185853152031,397,398,59.50989610000397
1,barbell_2d_fuzziness_007,2,hhcart,15,0.9472,0.9364313897413415,0.9472283813747229,0.9417989417989417,0.8326418153709969,0.4940526000643115,0.7400212515254811,0.10323469717820566,417,418,66.90130699999281
