seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,gini_coverage_class_1_leaves,gini_density_class_1_leaves,splits,leaves,runtime
1,barbell_2d_fuzziness_007,2,wodt,0,0.5438,0.0,,,0.0,0.0,0.0,0.0,0,1,0.0001328999933321029
1,barbell_2d_fuzziness_007,2,wodt,1,0.6236,0.9653660675142481,0.5498127340823971,0.7006045179764556,0.46536606751424814,0.37381475122488195,0.0,0.0,1,2,0.055649999994784594
1,barbell_2d_fuzziness_007,2,wodt,2,0.788,0.918456817185445,0.7056247894914113,0.7980952380952381,0.687965804471723,0.5193456991657697,0.0,0.0,3,4,0.07571319999988191
1,barbell_2d_fuzziness_007,2,wodt,3,0.8064,0.8943445857080228,0.7372605710155403,0.8082408874801903,0.8013480929416923,0.4946020932722992,0.0,0.0,7,8,0.11129280000750441
1,barbell_2d_fuzziness_007,2,wodt,4,0.6462,0.9088119245944761,0.5704457897633461,0.7009298393913778,0.812261828482784,0.4445655689532173,0.5640376266280751,0.1591199480911354,14,15,0.15606449999904726
1,barbell_2d_fuzziness_007,2,wodt,5,0.6756,0.8816308636562911,0.5979779958370502,0.7126151665485472,0.8472498566755473,0.5153562322147762,0.18133598541355855,0.19920783470275172,28,29,0.2646420999953989
1,barbell_2d_fuzziness_007,2,wodt,6,0.7326,0.8522577816747041,0.6603260869565217,0.7441148325358852,0.835241203500739,0.4113222359243016,0.5055555555555555,0.18924894553578864,51,52,0.43477269999857526
1,barbell_2d_fuzziness_007,2,wodt,7,0.7522,0.8430512932924156,0.6858059914407989,0.7563421828908554,0.7982676391269115,0.45079246323181366,0.6913243196394525,0.2655116749746007,90,91,0.5622506999934558
1,barbell_2d_fuzziness_007,2,wodt,8,0.6552,0.8417360806663744,0.5848309473042949,0.6901509705248023,0.8161651588218883,0.48595844238937436,0.7069627192982457,0.2803799115820169,141,142,1.8633167999942088
1,barbell_2d_fuzziness_007,2,wodt,9,0.8212,0.809732573432705,0.8006068487212831,0.8051438535309503,0.8114656400701448,0.46052288395807217,0.7489334055224692,0.2205212330159998,211,212,1.117822400003206
1,barbell_2d_fuzziness_007,2,wodt,10,0.812,0.7628233231039018,0.8134642356241234,0.7873303167420814,0.7825874472657235,0.43292539240824013,0.749616858237548,0.21547315355085295,267,268,1.156099699990591
