seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,gini_coverage_class_1_leaves,gini_density_class_1_leaves,splits,leaves,runtime
1,barbell_2d_fuzziness_007,2,hhcart_d,0,0.5438,0.0,,,0.0,0.0,0.0,0.0,0,1,2.5000044843181968e-06
1,barbell_2d_fuzziness_007,2,hhcart_d,1,0.6332,0.950021920210434,0.5574993568304605,0.7026588845654993,0.45002192021043386,0.34479169622019556,0.0,0.0,1,2,8.593329399998765
1,barbell_2d_fuzziness_007,2,hhcart_d,2,0.8068,0.8702323542306006,0.7476459510357816,0.8042949756888169,0.6550854888206927,0.4800588665755712,0.0,0.0,3,4,14.471205800000462
1,barbell_2d_fuzziness_007,2,hhcart_d,3,0.8262,0.8465585269618588,0.7881632653061225,0.8163179031917143,0.7822775098640948,0.4886489167858874,0.0,0.0,7,8,17.750456100009615
1,barbell_2d_fuzziness_007,2,hhcart_d,4,0.838,0.8290223586146427,0.8182604932929468,0.8236062717770035,0.8487779482683033,0.43578638953177884,0.0,0.0,15,16,20.770377400011057
1,barbell_2d_fuzziness_007,2,hhcart_d,5,0.8414,0.8509425690486628,0.8107769423558897,0.8303743315508021,0.8826309732573434,0.5007508522524065,0.7517774343122103,0.14025594792377016,31,32,23.83979559999716
1,barbell_2d_fuzziness_007,2,hhcart_d,6,0.8514,0.8373520385795704,0.8369851007887817,0.8371685294762219,0.890646048383883,0.5197515791837775,0.8579138139347564,0.10918038911100081,54,55,26.241903999994975
1,barbell_2d_fuzziness_007,2,hhcart_d,7,0.8674,0.8794388426128891,0.8379281537176274,0.8581818181818182,0.8915664372986676,0.5257662047574252,0.8596709870388834,0.1037247855246306,91,92,27.981957600000896
1,barbell_2d_fuzziness_007,2,hhcart_d,8,0.8862,0.8733011836913634,0.8767605633802817,0.8750274544256534,0.8904904134561706,0.5269726070304377,0.8680039306160816,0.1080339074345118,138,139,29.510870199999772
1,barbell_2d_fuzziness_007,2,hhcart_d,9,0.9026,0.8851380973257343,0.8997326203208557,0.8923756906077349,0.8860216851896212,0.5269747248511714,0.8526429475537947,0.11127892557029884,193,194,30.852086899991264
1,barbell_2d_fuzziness_007,2,hhcart_d,10,0.914,0.9241560718982902,0.8913319238900634,0.907447266465777,0.8780733781210306,0.5200955770275484,0.8177804497717325,0.10927015340115065,252,253,35.21180000000459
