dataset,data_dim,seed,algorithm,depth,splits,leaves,accuracy,coverage,density,f_score,training_time,avg_active_feature_count,feature_utilisation_ratio,tree_level_sparsity_index,composite_interpretability_score
barbell_2d,2,1,hhcart,10,11,12,0.8568,0.2215422276621787,0.6934865900383141,0.3358070500927643,0.0249032974243164,2.0,1.0,0.0,
barbell_2d,2,1,randcart,10,125,126,0.9908,0.9608323133414932,0.9824780976220276,0.9715346534653464,0.0455045700073242,2.0,1.0,0.0,
barbell_2d,2,1,oc1,10,25,26,0.977,0.9033047735618116,0.9534883720930232,0.9277184160905092,46.70657682418823,2.0,1.0,0.0,
barbell_2d,2,1,wodt,10,43,44,0.8842,0.8739290085679314,0.6,0.7115097159940209,0.448850154876709,2.0,1.0,0.0,
barbell_2d,2,1,hhcart,11,11,12,0.8568,0.2215422276621787,0.6934865900383141,0.3358070500927643,0.0247118473052978,2.0,1.0,0.0,
barbell_2d,2,1,randcart,11,152,153,0.9918,0.9718482252141984,0.9778325123152708,0.974831184775936,0.0583062171936035,2.0,1.0,0.0,
barbell_2d,2,1,oc1,11,31,32,0.9816,0.9241126070991432,0.961783439490446,0.9425717852684146,46.9405825138092,2.0,1.0,0.0,
barbell_2d,2,1,wodt,11,51,52,0.9208,0.8665850673194615,0.7115577889447237,0.7814569536423842,0.4846031665802002,2.0,1.0,0.0,
barbell_2d,2,1,hhcart,12,11,12,0.8568,0.2215422276621787,0.6934865900383141,0.3358070500927643,0.0256016254425048,2.0,1.0,0.0,
barbell_2d,2,1,randcart,12,136,137,0.99,0.9608323133414932,0.9775840597758406,0.9691358024691358,0.0570833683013916,2.0,1.0,0.0,
barbell_2d,2,1,oc1,12,38,39,0.9848,0.94124847001224,0.9648682559598496,0.952912019826518,47.12101316452026,2.0,1.0,0.0,
barbell_2d,2,1,wodt,12,42,43,0.9728,0.9388004895960832,0.8991793669402111,0.918562874251497,0.4404942989349365,2.0,1.0,0.0,
barbell_2d,2,1,hhcart,13,11,12,0.8568,0.2215422276621787,0.6934865900383141,0.3358070500927643,0.0249228477478027,2.0,1.0,0.0,
barbell_2d,2,1,randcart,13,143,144,0.9918,0.9657282741738066,0.983790523690773,0.97467572575664,0.0603632926940918,2.0,1.0,0.0,
barbell_2d,2,1,oc1,13,35,36,0.9834,0.9228886168910648,0.9741602067183462,0.9478315524827152,47.307361125946045,2.0,1.0,0.0,
barbell_2d,2,1,wodt,13,69,70,0.8174,0.9082007343941249,0.4696202531645569,0.6191072173550272,0.5557522773742676,2.0,1.0,0.0,
barbell_2d,2,1,hhcart,14,11,12,0.8568,0.2215422276621787,0.6934865900383141,0.3358070500927643,0.0259835720062255,2.0,1.0,0.0,
barbell_2d,2,1,randcart,14,160,161,0.9898,0.9645042839657284,0.9728395061728397,0.9686539643515674,0.0643351078033447,2.0,1.0,0.0,
barbell_2d,2,1,oc1,14,35,36,0.984,0.9253365973072216,0.975483870967742,0.949748743718593,46.909345626831055,2.0,1.0,0.0,
barbell_2d,2,1,wodt,14,103,104,0.836,0.9094247246022032,0.4989926124916051,0.6444058976582827,0.604522705078125,2.0,1.0,0.0,
barbell_2d,2,1,hhcart,15,11,12,0.8568,0.2215422276621787,0.6934865900383141,0.3358070500927643,0.0250487327575683,2.0,1.0,0.0,
barbell_2d,2,1,randcart,15,147,148,0.9904,0.9681762545899631,0.972939729397294,0.970552147239264,0.059971809387207,2.0,1.0,0.0,
barbell_2d,2,1,oc1,15,35,36,0.984,0.9253365973072216,0.975483870967742,0.949748743718593,47.41467618942261,2.0,1.0,0.0,
barbell_2d,2,1,wodt,15,102,103,0.9076,0.8824969400244798,0.6632934682612696,0.7573529411764706,0.5372769832611084,2.0,1.0,0.0,
barbell_2d,2,8,hhcart,0,0,1,0.8366,1.0,0.1634,0.2809008079766202,1.0967254638671877e-05,0.0,0.0,,
barbell_2d,2,8,randcart,0,0,1,0.8366,1.0,0.1634,0.2809008079766202,1.0013580322265623e-05,0.0,0.0,,
barbell_2d,2,8,oc1,0,0,1,0.8366,1.0,0.1634,0.2809008079766202,0.0007131099700927,0.0,0.0,,
barbell_2d,2,8,wodt,0,0,1,0.8366,1.0,0.1634,0.2809008079766202,0.0010039806365966,0.0,0.0,,
barbell_2d,2,8,hhcart,1,1,2,0.8366,0.0,,,0.0615718364715576,0.0,0.0,,
barbell_2d,2,8,randcart,1,1,2,0.8366,0.0,,,0.0865545272827148,0.0,0.0,,
barbell_2d,2,8,oc1,1,1,2,0.8366,0.0,,,25.581260919570923,0.0,0.0,,
barbell_2d,2,8,wodt,1,0,1,0.8366,1.0,0.1634,0.2809008079766202,0.0009822845458984,0.0,0.0,,
barbell_2d,2,8,hhcart,2,3,4,0.8366,0.0,,,0.009000539779663,2.0,1.0,0.0,
barbell_2d,2,8,randcart,2,3,4,0.8366,0.0,,,0.0045104026794433,2.0,1.0,0.0,
barbell_2d,2,8,oc1,2,2,3,0.8366,0.0,,,37.06634712219238,2.0,1.0,0.0,
barbell_2d,2,8,wodt,2,1,2,0.8366,0.0,,,0.0731699466705322,0.0,0.0,,
barbell_2d,2,8,hhcart,3,4,5,0.8366,0.0,,,0.0150046348571777,2.0,1.0,0.0,
barbell_2d,2,8,randcart,3,6,7,0.8376,0.3745410036719706,0.5041186161449753,0.4297752808988764,0.0066182613372802,2.0,1.0,0.0,
barbell_2d,2,8,oc1,3,4,5,0.8854,0.7380660954712362,0.6268191268191268,0.6779089376053962,43.04718804359436,2.0,1.0,0.0,
barbell_2d,2,8,wodt,3,2,3,0.8366,0.0,,,0.0957646369934082,2.0,1.0,0.0,
barbell_2d,2,8,hhcart,4,5,6,0.8366,0.0,,,0.016463279724121,2.0,1.0,0.0,
barbell_2d,2,8,randcart,4,13,14,0.8914,0.5581395348837209,0.7147335423197492,0.6268041237113402,0.0103890895843505,2.0,1.0,0.0,
barbell_2d,2,8,oc1,4,6,7,0.9296,0.9326805385556916,0.7195467422096318,0.8123667377398721,44.81690287590027,2.0,1.0,0.0,
barbell_2d,2,8,wodt,4,6,7,0.8366,0.0,,,0.225299596786499,2.0,1.0,0.0,
barbell_2d,2,8,hhcart,5,7,8,0.843,0.1505507955936352,0.5747663551401869,0.2386032977691561,0.0185358524322509,2.0,1.0,0.0,
barbell_2d,2,8,randcart,5,18,19,0.9196,0.7148102815177478,0.7755644090305445,0.7439490445859871,0.0121741294860839,2.0,1.0,0.0,
barbell_2d,2,8,oc1,5,8,9,0.9324,0.9314565483476132,0.7296260786193672,0.8182795698924732,45.58969283103943,2.0,1.0,0.0,
barbell_2d,2,8,wodt,5,5,6,0.8366,0.0,,,0.2071642875671386,2.0,1.0,0.0,
barbell_2d,2,8,hhcart,6,9,10,0.8468,0.1505507955936352,0.6307692307692307,0.2430830039525691,0.0214943885803222,2.0,1.0,0.0,
barbell_2d,2,8,randcart,6,32,33,0.9344,0.806609547123623,0.7949336550060314,0.8007290400972054,0.0173499584197998,2.0,1.0,0.0,
barbell_2d,2,8,oc1,6,10,11,0.9534,0.7760097919216646,0.9269005847953216,0.8447701532311793,46.32511115074158,2.0,1.0,0.0,
barbell_2d,2,8,wodt,6,11,12,0.8224,0.419828641370869,0.4531043593130779,0.4358322744599746,0.2730340957641601,2.0,1.0,0.0,
barbell_2d,2,8,hhcart,7,10,11,0.8568,0.2215422276621787,0.6934865900383141,0.3358070500927643,0.0242626667022705,2.0,1.0,0.0,
barbell_2d,2,8,randcart,7,51,52,0.9542,0.8421052631578947,0.8730964467005076,0.8573208722741432,0.0234308242797851,2.0,1.0,0.0,
barbell_2d,2,8,oc1,7,15,16,0.9706,0.9094247246022032,0.9105392156862744,0.909981628903858,65.33437824249268,2.0,1.0,0.0,
barbell_2d,2,8,wodt,7,14,15,0.8874,0.8555691554467564,0.611013986013986,0.7129015808261092,0.2776563167572021,2.0,1.0,0.0,
barbell_2d,2,8,hhcart,8,11,12,0.8568,0.2215422276621787,0.6934865900383141,0.3358070500927643,0.0249562263488769,2.0,1.0,0.0,
barbell_2d,2,8,randcart,8,68,69,0.9698,0.8886168910648715,0.9236641221374046,0.9058016219588272,0.0292193889617919,2.0,1.0,0.0,
barbell_2d,2,8,oc1,8,16,17,0.968,0.8335373317013464,0.9659574468085106,0.8948751642575559,46.85493874549866,2.0,1.0,0.0,
barbell_2d,2,8,wodt,8,20,21,0.8528,0.784577723378213,0.533721898417985,0.6352824578790882,0.318669319152832,2.0,1.0,0.0,
barbell_2d,2,8,hhcart,9,11,12,0.8568,0.2215422276621787,0.6934865900383141,0.3358070500927643,0.0252375602722167,2.0,1.0,0.0,
barbell_2d,2,8,randcart,9,112,113,0.9812,0.9302325581395348,0.9535759096612296,0.9417596034696406,0.0416855812072753,2.0,1.0,0.0,
barbell_2d,2,8,oc1,9,25,26,0.9772,0.9216646266829864,0.937733499377335,0.9296296296296296,47.02113366127014,2.0,1.0,0.0,
barbell_2d,2,8,wodt,9,32,33,0.8676,0.835985312117503,0.5639966969446738,0.6735700197238659,0.4408755302429199,2.0,1.0,0.0,
barbell_2d,2,8,hhcart,10,11,12,0.8568,0.2215422276621787,0.6934865900383141,0.3358070500927643,0.0256249904632568,2.0,1.0,0.0,
barbell_2d,2,8,randcart,10,134,135,0.9896,0.966952264381885,0.9693251533742332,0.9681372549019608,0.048011302947998,2.0,1.0,0.0,
barbell_2d,2,8,oc1,10,25,26,0.977,0.9033047735618116,0.9534883720930232,0.9277184160905092,46.56840491294861,2.0,1.0,0.0,
barbell_2d,2,8,wodt,10,49,50,0.9394,0.9375764993880048,0.7524557956777996,0.8348773841961853,0.5180466175079346,2.0,1.0,0.0,
barbell_2d,2,8,hhcart,11,11,12,0.8568,0.2215422276621787,0.6934865900383141,0.3358070500927643,0.0256576538085937,2.0,1.0,0.0,
barbell_2d,2,8,randcart,11,153,154,0.9914,0.9657282741738066,0.9813432835820896,0.97347316471314,0.0604610443115234,2.0,1.0,0.0,
barbell_2d,2,8,oc1,11,30,31,0.9812,0.91921664626683,0.9640564826700898,0.9411027568922304,46.79345345497131,2.0,1.0,0.0,
barbell_2d,2,8,wodt,11,45,46,0.8486,0.784577723378213,0.5245499181669394,0.6287395782246199,0.5199942588806152,2.0,1.0,0.0,
barbell_2d,2,8,hhcart,12,11,12,0.8568,0.2215422276621787,0.6934865900383141,0.3358070500927643,0.0254290103912353,2.0,1.0,0.0,
barbell_2d,2,8,randcart,12,138,139,0.991,0.97062423500612,0.9742014742014742,0.9724095646842428,0.0561521053314209,2.0,1.0,0.0,
barbell_2d,2,8,oc1,12,39,40,0.985,0.9388004895960832,0.9684343434343434,0.9533871970167804,46.90373682975769,2.0,1.0,0.0,
barbell_2d,2,8,wodt,12,80,81,0.8754,0.8702570379436965,0.5789902280130294,0.6953545232273839,0.4839985370635986,2.0,1.0,0.0,
barbell_2d,2,8,hhcart,13,11,12,0.8568,0.2215422276621787,0.6934865900383141,0.3358070500927643,0.0256590843200683,2.0,1.0,0.0,
barbell_2d,2,8,randcart,13,154,155,0.9908,0.9681762545899631,0.9753390875462392,0.9717444717444716,0.0618183612823486,2.0,1.0,0.0,
barbell_2d,2,8,oc1,13,40,41,0.9864,0.9375764993880048,0.9782886334610472,0.9575,47.18140959739685,2.0,1.0,0.0,
barbell_2d,2,8,wodt,13,44,45,0.9576,0.9082007343941249,0.8441410693970421,0.875,0.4776258468627929,2.0,1.0,0.0,
barbell_2d,2,8,hhcart,14,11,12,0.8568,0.2215422276621787,0.6934865900383141,0.3358070500927643,0.025247573852539,2.0,1.0,0.0,
barbell_2d,2,8,randcart,14,146,147,0.9928,0.9828641370869032,0.9733333333333334,0.9780755176613888,0.0579502582550048,2.0,1.0,0.0,
barbell_2d,2,8,oc1,14,36,37,0.9838,0.9241126070991432,0.975452196382429,0.9490886235072282,46.73477792739868,2.0,1.0,0.0,
barbell_2d,2,8,wodt,14,86,87,0.8334,0.9094247246022032,0.4946737683089214,0.6407934454506252,0.6088933944702148,2.0,1.0,0.0,
barbell_2d,2,8,hhcart,15,11,12,0.8568,0.2215422276621787,0.6934865900383141,0.3358070500927643,0.0255472660064697,2.0,1.0,0.0,
barbell_2d,2,8,randcart,15,150,151,0.9898,0.9645042839657284,0.9728395061728397,0.9686539643515674,0.0616593360900878,2.0,1.0,0.0,
barbell_2d,2,8,oc1,15,42,43,0.9868,0.9400244798041616,0.978343949044586,0.9588014981273408,47.09351325035095,2.0,1.0,0.0,
barbell_2d,2,8,wodt,15,88,89,0.656,0.9094247246022032,0.3110087902888238,0.4635059263880224,0.5843017101287842,2.0,1.0,0.0,
barbell_2d,2,11,hhcart,0,0,1,0.8366,1.0,0.1634,0.2809008079766202,1.2159347534179688e-05,0.0,0.0,,
barbell_2d,2,11,randcart,0,0,1,0.8366,1.0,0.1634,0.2809008079766202,1.1444091796875e-05,0.0,0.0,,
barbell_2d,2,11,oc1,0,0,1,0.8366,1.0,0.1634,0.2809008079766202,0.0005855560302734,0.0,0.0,,
barbell_2d,2,11,wodt,0,0,1,0.8366,1.0,0.1634,0.2809008079766202,0.0009975433349609,0.0,0.0,,
barbell_2d,2,11,hhcart,1,1,2,0.8366,0.0,,,0.0522582530975341,0.0,0.0,,
barbell_2d,2,11,randcart,1,1,2,0.8366,0.0,,,0.0855042934417724,0.0,0.0,,
barbell_2d,2,11,oc1,1,1,2,0.8366,0.0,,,25.573278665542603,0.0,0.0,,
barbell_2d,2,11,wodt,1,0,1,0.8366,1.0,0.1634,0.2809008079766202,0.0009891986846923,0.0,0.0,,
barbell_2d,2,11,hhcart,2,3,4,0.8366,0.0,,,0.0089027881622314,2.0,1.0,0.0,
barbell_2d,2,11,randcart,2,3,4,0.8366,0.0,,,0.0046374797821044,2.0,1.0,0.0,
barbell_2d,2,11,oc1,2,2,3,0.8366,0.0,,,36.94518280029297,2.0,1.0,0.0,
barbell_2d,2,11,wodt,2,1,2,0.8366,0.0,,,0.0339572429656982,0.0,0.0,,
barbell_2d,2,11,hhcart,3,4,5,0.8366,0.0,,,0.0149199962615966,2.0,1.0,0.0,
barbell_2d,2,11,randcart,3,7,8,0.8366,0.0,,,0.0073106288909912,2.0,1.0,0.0,
barbell_2d,2,11,oc1,3,4,5,0.8854,0.7380660954712362,0.6268191268191268,0.6779089376053962,43.06156849861145,2.0,1.0,0.0,
barbell_2d,2,11,wodt,3,3,4,0.8366,0.0,,,0.1350739002227783,2.0,1.0,0.0,
barbell_2d,2,11,hhcart,4,5,6,0.8366,0.0,,,0.0164697170257568,2.0,1.0,0.0,
barbell_2d,2,11,randcart,4,11,12,0.8592,0.4247246022031823,0.5972461273666093,0.4964234620886981,0.0091636180877685,2.0,1.0,0.0,
