dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,splits,leaves,avg_active_feature_count,feature_utilisation_ratio,tree_level_sparsity_index,composite_interpretability_score,training_time
barbell_2d,2,wodt,1,0.8373333333333334,0.0,,,0,1,0.0,0.0,,,0.0
sine_wave_2d,2,wodt,1,0.9236,0.0,,,0,1,0.0,0.0,,,0.0
star_2d,2,wodt,1,0.845,0.0,,,0,1,0.0,0.0,,,0.0
radial_segment_2d,2,wodt,1,0.6916,0.0,,,0,1,0.0,0.0,,,0.0
rectangle_2d,2,wodt,1,0.7492,0.0,,,0,1,0.0,0.0,,,0.0
barbell_3d,3,wodt,1,0.859,0.0,,,0,1,0.0,0.0,,,0.0
radial_segment_3d,3,wodt,1,0.7587,0.0,,,0,1,0.0,0.0,,,0.010071516036987305
saddle_3d,3,wodt,1,0.8022,0.0,,,0,1,0.0,0.0,,,0.0016295909881591797
barbell_2d,2,hhcart,2,0.8373333333333334,0.0,,,3,4,2.0,1.0,0.0,,0.009823083877563477
sine_wave_2d,2,hhcart,2,0.9236,0.0,,,1,2,0.0,0.0,,,0.004815816879272461
star_2d,2,hhcart,2,0.845,0.0,,,3,4,2.0,1.0,0.0,,0.0021097660064697266
radial_segment_2d,2,hhcart,2,0.6916,0.0,,,3,4,2.0,1.0,0.0,,0.009115934371948242
rectangle_2d,2,hhcart,2,0.7492,0.0,,,3,4,2.0,1.0,0.0,,0.0035140514373779297
barbell_3d,3,hhcart,2,0.859,0.0,,,3,4,3.0,1.0,0.0,,0.018293380737304688
radial_segment_3d,3,hhcart,2,0.7587,0.0,,,3,4,3.0,1.0,0.0,,0.010241031646728516
saddle_3d,3,hhcart,2,0.8022,0.0,,,3,4,3.0,1.0,0.0,,0.01539921760559082
barbell_2d,2,randcart,2,0.8373333333333334,0.0,,,3,4,2.0,1.0,0.0,,0.0
sine_wave_2d,2,randcart,2,0.9236,0.0,,,3,4,2.0,1.0,0.0,,0.0030426979064941406
star_2d,2,randcart,2,0.845,0.0,,,3,4,2.0,1.0,0.0,,0.0029311180114746094
radial_segment_2d,2,randcart,2,0.6916,0.0,,,3,4,2.0,1.0,0.0,,0.004538536071777344
rectangle_2d,2,randcart,2,0.7492,0.0,,,3,4,2.0,1.0,0.0,,0.005270481109619141
barbell_3d,3,randcart,2,0.859,0.0,,,3,4,3.0,1.0,0.0,,0.009657621383666992
radial_segment_3d,3,randcart,2,0.7587,0.0,,,3,4,3.0,1.0,0.0,,0.006221771240234375
saddle_3d,3,randcart,2,0.8022,0.0,,,3,4,3.0,1.0,0.0,,0.009920358657836914
barbell_2d,2,oc1,2,0.8373333333333334,0.0,,,2,3,2.0,1.0,0.0,,3.3016414642333984
sine_wave_2d,2,oc1,2,0.9236,0.0,,,2,3,2.0,1.0,0.0,,25.17967939376831
star_2d,2,oc1,2,0.845,0.0,,,2,3,1.0,0.5,0.5,1.0,30.86556649208069
radial_segment_2d,2,oc1,2,0.6916,0.0,,,2,3,2.0,1.0,0.0,,33.19330620765686
rectangle_2d,2,oc1,2,0.7492,0.0,,,2,3,2.0,1.0,0.0,,33.58059048652649
barbell_3d,3,oc1,2,0.859,0.0,,,2,3,3.0,1.0,0.0,,143.87479662895203
radial_segment_3d,3,oc1,2,0.7587,0.0,,,2,3,3.0,1.0,0.0,,147.34433364868164
saddle_3d,3,oc1,2,0.8022,0.0,,,2,3,3.0,1.0,0.0,,144.82930302619934
barbell_2d,2,wodt,2,0.8373333333333334,0.0,,,1,2,0.0,0.0,,,0.02003192901611328
sine_wave_2d,2,wodt,2,0.9236,0.0,,,1,2,0.0,0.0,,,0.05494403839111328
star_2d,2,wodt,2,0.845,0.0,,,1,2,0.0,0.0,,,0.022840499877929688
radial_segment_2d,2,wodt,2,0.6916,0.0,,,1,2,0.0,0.0,,,0.05027890205383301
rectangle_2d,2,wodt,2,0.7492,0.0,,,1,2,0.0,0.0,,,0.06588172912597656
barbell_3d,3,wodt,2,0.859,0.0,,,1,2,0.0,0.0,,,0.03496813774108887
radial_segment_3d,3,wodt,2,0.7587,0.0,,,1,2,0.0,0.0,,,0.09097790718078613
saddle_3d,3,wodt,2,0.8022,0.0,,,1,2,0.0,0.0,,,0.10499095916748047
barbell_2d,2,hhcart,3,0.8373333333333334,0.0,,,5,6,2.0,1.0,0.0,,0.0048007965087890625
sine_wave_2d,2,hhcart,3,0.9236,0.0,,,1,2,0.0,0.0,,,0.005250692367553711
star_2d,2,hhcart,3,0.845,0.0,,,5,6,2.0,1.0,0.0,,0.010337114334106445
radial_segment_2d,2,hhcart,3,0.7142,0.23540856031128404,0.5921696574225123,0.33689095127610214,7,8,2.0,1.0,0.0,,0.009705781936645508
rectangle_2d,2,hhcart,3,0.7492,0.0,,,6,7,2.0,1.0,0.0,,0.014175891876220703
barbell_3d,3,hhcart,3,0.859,0.0,,,7,8,3.0,1.0,0.0,,0.03010272979736328
radial_segment_3d,3,hhcart,3,0.765,0.22503108164111066,0.530791788856305,0.3160651920838184,7,8,3.0,1.0,0.0,,0.02633523941040039
saddle_3d,3,hhcart,3,0.8022,0.0,,,7,8,3.0,1.0,0.0,,0.019777297973632812
barbell_2d,2,randcart,3,0.8546666666666667,0.45081967213114754,0.5670103092783505,0.5022831050228311,7,8,2.0,1.0,0.0,,0.01022791862487793
sine_wave_2d,2,randcart,3,0.9236,0.0,,,6,7,2.0,1.0,0.0,,0.010271549224853516
star_2d,2,randcart,3,0.8584,0.40258064516129033,0.5601436265709157,0.46846846846846846,7,8,2.0,1.0,0.0,,0.009798288345336914
radial_segment_2d,2,randcart,3,0.6916,0.0,,,7,8,2.0,1.0,0.0,,0.0
rectangle_2d,2,randcart,3,0.8328,0.37719298245614036,0.8958333333333334,0.5308641975308642,7,8,2.0,1.0,0.0,,0.005047798156738281
barbell_3d,3,randcart,3,0.8647,0.450354609929078,0.5234954657873042,0.484178421654594,7,8,3.0,1.0,0.0,,0.019812583923339844
radial_segment_3d,3,randcart,3,0.7587,0.0,,,7,8,3.0,1.0,0.0,,0.011583566665649414
saddle_3d,3,randcart,3,0.826,0.6850353892821032,0.5481391585760518,0.6089887640449438,7,8,3.0,1.0,0.0,,0.007050275802612305
barbell_2d,2,oc1,3,0.8373333333333334,0.0,,,3,4,2.0,1.0,0.0,,4.206274509429932
sine_wave_2d,2,oc1,3,0.9236,0.0,,,3,4,2.0,1.0,0.0,,28.680110216140747
star_2d,2,oc1,3,0.8482,0.8812903225806452,0.5059259259259259,0.6428235294117647,3,4,1.0,0.5,0.5,1.0,35.99467325210571
radial_segment_2d,2,oc1,3,0.6966,0.9675745784695201,0.5042244001351808,0.6629637858253721,3,4,2.0,1.0,0.0,,44.034472942352295
rectangle_2d,2,oc1,3,0.8176,0.8851674641148325,0.5910543130990416,0.7088122605363986,4,5,2.0,1.0,0.0,,39.2158899307251
barbell_3d,3,oc1,3,0.859,0.0,,,3,4,2.0,0.6666666666666666,0.33333333333333337,2.0,166.06807351112366
radial_segment_3d,3,oc1,3,0.7994,0.7608785743887277,0.5623277182235834,0.6467065868263473,4,5,3.0,1.0,0.0,,166.8307168483734
saddle_3d,3,oc1,3,0.8274,0.7290192113245703,0.5478723404255319,0.625596529284165,4,5,2.0,0.6666666666666666,0.33333333333333337,2.0,158.38257217407227
barbell_2d,2,wodt,3,0.8373333333333334,0.0,,,2,3,2.0,1.0,0.0,,0.036193132400512695
sine_wave_2d,2,wodt,3,0.9236,0.0,,,2,3,2.0,1.0,0.0,,0.09862971305847168
star_2d,2,wodt,3,0.845,0.0,,,3,4,2.0,1.0,0.0,,0.1349339485168457
radial_segment_2d,2,wodt,3,0.6916,0.0,,,3,4,2.0,1.0,0.0,,0.06957459449768066
rectangle_2d,2,wodt,3,0.7492,0.0,,,3,4,2.0,1.0,0.0,,0.12004899978637695
barbell_3d,3,wodt,3,0.859,0.0,,,3,4,3.0,1.0,0.0,,0.20639848709106445
radial_segment_3d,3,wodt,3,0.7587,0.0,,,3,4,3.0,1.0,0.0,,0.20174908638000488
saddle_3d,3,wodt,3,0.794,0.0010111223458038423,0.023255813953488372,0.001937984496124031,3,4,3.0,1.0,0.0,,0.3400688171386719
barbell_2d,2,hhcart,4,0.8373333333333334,0.0,,,6,7,2.0,1.0,0.0,,0.015765666961669922
sine_wave_2d,2,hhcart,4,0.9236,0.0,,,1,2,0.0,0.0,,,0.005059242248535156
star_2d,2,hhcart,4,0.845,0.0,,,8,9,2.0,1.0,0.0,,0.010221719741821289
radial_segment_2d,2,hhcart,4,0.7226,0.3547341115434501,0.582534611288605,0.44095122934300685,11,12,2.0,1.0,0.0,,0.022955894470214844
rectangle_2d,2,hhcart,4,0.7542,0.14035087719298245,0.5382262996941896,0.22264389626818468,10,11,2.0,1.0,0.0,,0.013971567153930664
barbell_3d,3,hhcart,4,0.8653,0.2801418439716312,0.5433287482806052,0.3696771174543753,12,13,3.0,1.0,0.0,,0.029511213302612305
radial_segment_3d,3,hhcart,4,0.7753,0.528387898881061,0.5348154362416108,0.5315822388993121,14,15,3.0,1.0,0.0,,0.030327320098876953
saddle_3d,3,hhcart,4,0.8236,0.44388270980788674,0.569390402075227,0.49886363636363634,15,16,3.0,1.0,0.0,,0.04794025421142578
