shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
radial_segment_3d,0.0,10000,1,3,oc1,0,0.7581,0.0,,,0.0,0.0,0,1,0,0.0,0.00046448782086372375
radial_segment_3d,0.0,10000,1,3,oc1,1,0.7581,0.0,,,0.465274906986358,0.4216342904345771,1,2,3,0.0,63.16929011885077
radial_segment_3d,0.0,10000,1,3,oc1,2,0.7882,0.9288962381149235,0.5358931552587646,0.6796733212341198,0.5961140967341878,0.5685929129578393,2,3,3,3.0,97.6083371154964
radial_segment_3d,0.0,10000,1,3,oc1,3,0.8247,0.9045059942124845,0.5897574123989219,0.7139827051721325,0.6605002066969821,0.5755877987517264,3,4,3,3.0,113.50385716557503
radial_segment_3d,0.0,10000,1,3,oc1,4,0.8526,0.9082265398925176,0.6369962307915338,0.7488070892978869,0.7567176519222818,0.5883261815984546,5,6,3,3.0,127.6594766145572
radial_segment_3d,0.0,10000,1,3,oc1,5,0.8542,0.9198015708970649,0.6377185439954142,0.7532159783344619,0.7565522943365024,0.6005386615859623,9,10,3,3.0,139.0291628073901
radial_segment_3d,0.0,10000,1,3,oc1,6,0.9086,0.8726746589499793,0.7769598822230401,0.8220404984423676,0.8144119470855724,0.6040986009136684,15,16,3,3.0,148.0276497369632
radial_segment_3d,0.0,10000,1,3,oc1,7,0.9245,0.8999586606035552,0.8092936802973978,0.8522215697788218,0.8687301915392034,0.6035098964728303,23,24,3,3.0,156.64696690347046
radial_segment_3d,0.0,10000,1,3,oc1,8,0.9385,0.9119470855725507,0.8458588957055214,0.8776606325840461,0.8936888521427591,0.6166713475996344,29,30,3,3.0,164.40992830414325
radial_segment_3d,0.0,10000,1,3,oc1,9,0.9475,0.9057461761058289,0.8806270096463023,0.8930099857346647,0.8761294513671529,0.5538071398803461,41,42,3,3.0,171.21762808598578
radial_segment_3d,0.0,10000,1,3,oc1,10,0.9603,0.8813559322033898,0.9509366636931311,0.9148251448187085,0.8887226126498553,0.5832058944151448,49,50,3,3.0,174.02715149056166
radial_segment_3d,0.0,10000,1,3,oc1,11,0.9692,0.9082265398925176,0.9623302671922909,0.9344959591663122,0.905059408713278,0.6033583976830286,61,62,3,3.0,175.9419307867065
radial_segment_3d,0.0,10000,1,3,oc1,12,0.9696,0.9107069036792063,0.9615888258402444,0.9354564755838641,0.9125922306988865,0.5782644668040475,65,66,3,3.0,175.45804528985173
